station_name,start_count,end_count,total_count,start_percentage,end_percentage,station_percentage
1 Ave & E 16 St,0,2,2,0.0,1.0,0.0
1 Ave & E 5 St,0,1,1,0.0,1.0,0.0
10 Ave & W 28 St,0,1,1,0.0,1.0,0.0
12 Ave & W 40 St,0,26,26,0.0,1.0,0.0
5 Corners Library,4323,3638,7961,0.54,0.46,0.0107
6 Ave & Canal St,0,1,1,0.0,1.0,0.0
6 Ave & W 33 St,0,6,6,0.0,1.0,0.0
8 Ave & W 52 St,0,1,1,0.0,1.0,0.0
Adam Clayton Powell Blvd & W 126 St,0,1,1,0.0,1.0,0.0
Amsterdam Ave & W 125 St,0,2,2,0.0,1.0,0.0
Amsterdam Ave & W 73 St,0,2,2,0.0,1.0,0.0
Amsterdam Ave & W 79 St,0,2,2,0.0,1.0,0.0
Astor Place,7338,7420,14758,0.5,0.5,0.0199
Atlantic Ave & Fort Greene Pl,0,1,1,0.0,1.0,0.0
Baldwin at Montgomery,8891,8296,17187,0.52,0.48,0.0232
Barclay St & Church St,0,1,1,0.0,1.0,0.0
Barrow St & Hudson St,0,2,2,0.0,1.0,0.0
Bayard St & Baxter St,0,1,1,0.0,1.0,0.0
Bergen Ave,6805,6331,13136,0.52,0.48,0.0177
Broadway & Battery Pl,0,2,2,0.0,1.0,0.0
Broadway & E 14 St,0,2,2,0.0,1.0,0.0
Broadway & Moylan Pl,0,4,4,0.0,1.0,0.0
Broadway & W 122 St,0,1,1,0.0,1.0,0.0
Broadway & W 160 St,0,1,1,0.0,1.0,0.0
Broadway & W 49 St,0,10,10,0.0,1.0,0.0
Broadway & W 51 St,0,2,2,0.0,1.0,0.0
Broadway & W 56 St,0,2,2,0.0,1.0,0.0
Brunswick & 6th,15161,13498,28659,0.53,0.47,0.0386
Brunswick St,13991,13112,27103,0.52,0.48,0.0365
Cabrini Blvd & W 177 St,0,8,8,0.0,1.0,0.0
Central Park S & 6 Ave,0,1,1,0.0,1.0,0.0
Central Park West & W 85 St,0,2,2,0.0,1.0,0.0
Christ Hospital,4064,3024,7088,0.57,0.43,0.0096
Christopher St & Greenwich St,0,7,7,0.0,1.0,0.0
City Hall,19901,20966,40867,0.49,0.51,0.0551
Clinton St & Joralemon St,0,1,1,0.0,1.0,0.0
Columbus Dr at Exchange Pl,21613,24364,45977,0.47,0.53,0.062
Columbus Drive,15870,16144,32014,0.5,0.5,0.0432
Communipaw & Berry Lane,4151,4327,8478,0.49,0.51,0.0114
DeKalb Ave & Hudson Ave,0,1,1,0.0,1.0,0.0
Dey St,2820,3424,6244,0.45,0.55,0.0084
Dixon Mills,11393,10565,21958,0.52,0.48,0.0296
Driggs Ave & N 9 St,0,2,2,0.0,1.0,0.0
E 123 St & Lexington Ave,0,1,1,0.0,1.0,0.0
E 16 St & 5 Ave,0,1,1,0.0,1.0,0.0
E 20 St & FDR Drive,0,3,3,0.0,1.0,0.0
E 31 St & 3 Ave,0,2,2,0.0,1.0,0.0
E 33 St & 5 Ave,0,1,1,0.0,1.0,0.0
E 39 St & 2 Ave,0,1,1,0.0,1.0,0.0
E 53 St & Madison Ave,0,1,1,0.0,1.0,0.0
E 56 St & 3 Ave,0,1,1,0.0,1.0,0.0
E 85 St & York Ave,0,2,2,0.0,1.0,0.0
Edgecombe Ave & W 141 St,0,1,1,0.0,1.0,0.0
Essex Light Rail,10655,11097,21752,0.49,0.51,0.0293
Exchange Place,5304,6536,11840,0.45,0.55,0.016
Fairmount Ave,6788,5437,12225,0.56,0.44,0.0165
Forrest Tech Shop (parts testing),0,4,4,0.0,1.0,0.0
Fort Washington Ave & W 173 St,0,1,1,0.0,1.0,0.0
Front St & Jay St,0,1,1,0.0,1.0,0.0
Front St & Maiden Ln,0,3,3,0.0,1.0,0.0
Fulton St & Broadway,0,4,4,0.0,1.0,0.0
Gansevoort St & Hudson St,0,7,7,0.0,1.0,0.0
Glenwood Ave,4198,3483,7681,0.55,0.45,0.0104
Grand St,11407,11439,22846,0.5,0.5,0.0308
Grand St & Elizabeth St,0,1,1,0.0,1.0,0.0
Greenwich Ave & Charles St,0,4,4,0.0,1.0,0.0
Greenwich St & W Houston St,0,4,4,0.0,1.0,0.0
Grove St PATH,69592,84889,154481,0.45,0.55,0.2083
Hamilton Park,38824,36980,75804,0.51,0.49,0.1022
Harborside,30634,30646,61280,0.5,0.5,0.0826
Harrison St & Hudson St,0,2,2,0.0,1.0,0.0
Heights Elevator,5828,5448,11276,0.52,0.48,0.0152
Hicks St & Montague St,0,1,1,0.0,1.0,0.0
Hilltop,6081,4883,10964,0.55,0.45,0.0148
Hoboken Ave at Monmouth St,5586,5847,11433,0.49,0.51,0.0154
Howard St & Centre St,0,2,2,0.0,1.0,0.0
Hudson St & Reade St,0,1,1,0.0,1.0,0.0
JC Medical Center,17590,17917,35507,0.5,0.5,0.0479
JCBS Depot,44,155,199,0.22,0.78,0.0003
Jackson Square,2495,2384,4879,0.51,0.49,0.0066
Jay St & Tech Pl,0,1,1,0.0,1.0,0.0
Jay St & York St,0,2,2,0.0,1.0,0.0
Jersey & 3rd,15161,14549,29710,0.51,0.49,0.0401
Jersey & 6th St,14394,12007,26401,0.55,0.45,0.0356
John St & William St,0,1,1,0.0,1.0,0.0
Journal Square,10657,9301,19958,0.53,0.47,0.0269
Lafayette Park,6608,6794,13402,0.49,0.51,0.0181
Lenox Ave & W 111 St,0,1,1,0.0,1.0,0.0
Lenox Ave & W 144 St,0,1,1,0.0,1.0,0.0
Leonard Gordon Park,3393,3076,6469,0.52,0.48,0.0087
Lexington Ave & E 29 St,0,1,1,0.0,1.0,0.0
Liberty Light Rail,25441,26370,51811,0.49,0.51,0.0698
Liberty St & Broadway,0,8,8,0.0,1.0,0.0
Liberty State Park,0,2,2,0.0,1.0,0.0
Lincoln Park,8455,9321,17776,0.48,0.52,0.024
Little West St & 1 Pl,0,5,5,0.0,1.0,0.0
MacDougal St & Prince St,0,1,1,0.0,1.0,0.0
Manila & 1st,12723,13270,25993,0.49,0.51,0.035
Marin Light Rail,27811,27693,55504,0.5,0.5,0.0748
McGinley Square,12926,9218,22144,0.58,0.42,0.0299
Mercer St & Spring St,0,4,4,0.0,1.0,0.0
Monmouth and 6th,12785,11903,24688,0.52,0.48,0.0333
Montgomery St,8340,8303,16643,0.5,0.5,0.0224
Morningside Ave & W 123 St,0,2,2,0.0,1.0,0.0
